,회사명,종목코드,상장일
147,지역난방공사,071320.KS,2010-01-29
148,진도,088790.KS,2006-03-28
149,코오롱인더,120110.KS,2010-02-01
150,키다리스튜디오,020120.KS,1996-07-03
151,태경산업,015890.KS,1996-01-30
152,태양금속공업,004100.KS,1976-05-25
153,포스코강판,058430.KS,2002-08-16
154,필룩스,033180.KS,2001-12-26
155,한국공항,005430.KS,1976-12-28
156,한국종합기술,023350.KS,2011-04-28
157,한국철강,104700.KS,2008-09-29
158,한국패러랠,168490.KS,2013-04-19
159,한라홀딩스,060980.KS,2010-05-19
160,한미약품,128940.KS,2010-07-30
161,한솔로지스틱스,009180.KS,1989-11-13
162,한일철강,002220.KS,1988-10-07
163,한일현대시멘트,006390.KS,1975-12-26
164,한창제지,009460.KS,1987-12-23
165,한화생명,088350.KS,2010-03-17
166,한화시스템,272210.KS,2019-11-13
167,현대건설,000720.KS,1984-12-22
168,현대건설기계,267270.KS,2017-05-10
169,현대모비스,012330.KS,1989-09-05
170,현대비앤지스틸,004560.KS,1987-03-24
171,현대엘리베이터,017800.KS,1996-07-03
172,현대차증권,001500.KS,1990-06-09
173,현대홈쇼핑,057050.KS,2010-09-13
174,호전실업,111110.KS,2017-02-02
175,LG종금,008810.KS,1973-09-28
176,거북선4호,108890.KS,2009-03-06
177,경남에너지,008020.KS,1994-08-12
178,경동산업,002940.KS,1984-11-05
179,경일화학공업,028580.KS,1988-01-20
180,고려개발,004200.KS,1978-10-30
181,국민은행_(합병전),023130.KS,1994-09-30
182,금강피혁,013040.KS,1988-09-01
183,금성투자금융,028450.KS,1986-08-29
184,기린,006070.KS,1989-06-20
185,기산,011470.KS,1990-04-18
186,남양소금,029060.KS,1972-11-30
187,대농,001110.KS,1991-01-14
188,대성자원,004260.KS,1978-09-23
189,대우전자,007410.KS,1984-01-21
190,대우중공업,000200.KS,1966-03-18
191,대일화학공업,003110.KS,1977-06-29
192,대한모방,001350.KS,1977-06-30
193,대한알루미늄공업,009050.KS,1987-09-25
194,대호,001980.KS,1990-01-16
195,동국중기공업,028410.KS,1975-06-25
196,동북아21호선박투자,088010.KS,2006-01-27
197,동아금고,030710.KS,1996-11-19
198,동양현대종금,008980.KS,1975-06-23
199,동양화학공업,002740.KS,1976-06-02
200,동원증권,005890.KS,1986-12-24
201,럭키소재,034370.KS,1979-06-23
202,롯데미도파,004010.KS,1975-12-12
203,문화방송,028860.KS,1968-12-27
204,박현주2성장,037480.KS,2000-01-28
205,범양식품,008750.KS,1977-06-30
206,범화건설,029080.KS,1978-06-07
207,부국제강,029170.KS,1976-05-29
208,삼보컴퓨터,014900.KS,1989-12-19
209,삼삼종금,016500.KS,1988-06-29
210,삼성물산,000830.KS,1975-12-12
211,삼신,011540.KS,1990-09-14
212,삼양엔텍,008720.KS,1976-06-26
213,새서울상사,028350.KS,1977-06-11
214,새한상사,028990.KS,1973-05-30
215,서광,003260.KS,1989-06-05
216,서진식품,028550.KS,1989-05-30
217,성지건설,005980.KS,1995-03-17
218,승리기계제작소,028540.KS,1991-03-07
219,신한은행(조흥),015580.KS,1989-11-28
