,회사명,종목코드,상장일
649,삼성제약,001360.KS,1975-07-04
650,삼원강재,023000.KS,2011-07-22
651,삼익THK,004380.KS,1989-09-26
652,삼일제약,000520.KS,1985-05-29
653,삼진제약,005500.KS,1988-06-18
654,삼화왕관,004450.KS,1976-05-28
655,서연,007860.KS,1989-09-09
656,선창산업,002820.KS,1976-05-22
657,성신양회,004980.KS,1976-06-30
658,세기상사,002420.KS,1968-12-27
659,세아특수강,019440.KS,2011-06-01
660,세우글로벌,013000.KS,1989-09-05
661,세원정공,021820.KS,1996-07-03
662,세진중공업,075580.KS,2015-11-30
663,세화아이엠씨,145210.KS,2015-03-19
664,셀트리온,068270.KS,2018-02-09
665,신라교역,004970.KS,1976-06-30
666,신성통상,005390.KS,1975-12-22
667,신세계,004170.KS,1985-08-19
668,아모레퍼시픽,090430.KS,2006-06-29
669,아세아,002030.KS,1974-06-03
670,아이에스동서,010780.KS,1986-01-27
671,에스제이엠,123700.KS,2010-05-31
672,에이리츠,140910.KS,2011-07-14
673,에이엔피,015260.KS,1988-01-18
674,엔케이,085310.KS,2008-01-24
675,엔피씨,004250.KS,1969-09-08
676,영원무역,111770.KS,2009-07-30
677,영원무역홀딩스,009970.KS,1988-11-07
678,우리들휴브레인,118000.KS,2009-12-30
679,우신시스템,017370.KS,2002-05-28
680,우진,105840.KS,2010-07-26
681,우진플라임,049800.KS,2006-05-24
682,유니드,014830.KS,2004-12-03
683,유진증권,001200.KS,1987-08-24
684,이건산업,008250.KS,1988-10-21
685,이노션,214320.KS,2015-07-17
686,이연제약,102460.KS,2010-06-10
687,인스코비,006490.KS,1985-01-17
688,잇츠한불,226320.KS,2015-12-28
689,조광페인트,004910.KS,1976-12-27
690,조선내화,000480.KS,1978-06-30
691,지누스,013890.KS,2019-10-30
692,진에어,272450.KS,2017-12-08
693,참엔지니어링,009310.KS,1987-11-12
694,케이씨씨글라스,344820.KS,2020-01-21
695,코리아오토글라스,152330.KS,2015-12-29
696,코오롱글로벌,003070.KS,1978-09-15
697,키움증권,039490.KS,2009-08-03
698,태경케미컬,006890.KS,2003-01-28
699,토니모리,214420.KS,2015-07-10
700,페이퍼코리아,001020.KS,1976-06-26
701,포스코,005490.KS,1988-06-10
702,하나제약,293480.KS,2018-10-02
703,한국쉘석유,002960.KS,1988-08-10
704,한국화장품제조,003350.KS,1978-02-06
705,한미글로벌,053690.KS,2009-06-23
706,한솔피엔에스,010420.KS,1989-05-31
707,한양증권,001750.KS,1988-03-04
708,한진중공업,097230.KS,2007-08-31
709,한진중공업홀딩스,003480.KS,1956-03-03
710,현대일렉트릭,267260.KS,2017-05-10
711,현대제철,004020.KS,1987-05-23
712,황금에스티,032560.KS,2009-10-29
713,GBS,076170.KS,2004-01-16
714,KB손해보험,002550.KS,1976-07-05
715,KB증권,003450.KS,1975-09-30
716,KNC,018590.KS,1997-10-28
717,LGEI,002610.KS,1970-04-13
718,LG파워콤,045820.KS,2008-11-27
719,SBI모기지,950100.KS,2012-04-30
720,SEI에셋,034770.KS,1999-04-27
721,강원산업,000900.KS,1976-03-05
722,거북선7호,134000.KS,2010-11-10
723,건설산업,029000.KS,1977-06-30
724,경남기업,000800.KS,1973-02-12
725,경남은행,006610.KS,1972-06-15
726,경향건설,002050.KS,1977-12-17
727,고려석유화학,021170.KS,1996-11-22
728,고려시멘트,003660.KS,1987-01-23
729,광주고속,028800.KS,1975-12-27
730,금경,015980.KS,1989-08-29
731,금성전기,029260.KS,1976-06-29
732,나이키스포츠,028630.KS,1989-11-15
733,대우통신,005060.KS,1987-05-29
734,대진해운,028920.KS,1974-02-21
735,동방화공,004290.KS,1977-06-04
736,동북아15호,084240.KS,2005-08-12
737,동북아29호,089190.KS,2006-05-19
738,동북아5호,080980.KS,2004-12-29
739,동성,002470.KS,1989-09-05
740,동신제약,006600.KS,1987-08-01
741,동아정기,012760.KS,1986-11-17
742,맥슨텔레콤,009890.KS,1984-12-13
743,메리츠종금,012420.KS,1994-09-16
744,미원,002440.KS,1970-05-21
745,백산전자,028600.KS,1988-01-28
746,보고산업,029130.KS,1975-12-27
747,봉신,005350.KS,1988-08-12
748,삼미광업개발,029190.KS,1966-10-04
749,삼성건설,002010.KS,1968-12-27
750,삼성디지털이미징,108070.KS,2009-03-10
751,삼익건설,002180.KS,1978-08-18
752,삼환기업,000360.KS,1973-09-03
753,서광건설산업,001600.KS,1989-11-16
754,성원건설,012090.KS,1991-02-22
755,성화,004610.KS,1989-08-25
756,세신,004230.KS,1978-07-28
757,솔로몬저축은행,007800.KS,1996-11-19
758,신성에프에이,104120.KS,2008-09-01
759,신진자동차판매,028870.KS,1968-12-27
760,신한금융투자,008670.KS,1986-12-19
761,신한증권,003320.KS,1989-10-20
762,쌍용종금,014490.KS,1988-06-15
763,아세아페이퍼텍,009380.KS,1995-08-18
764,아시아8호,081930.KS,2005-02-15
765,알보젠코리아,002250.KS,1973-11-10
766,영진테크,012470.KS,1989-09-29
767,영창악기제조,001890.KS,1984-07-28
768,외환신용카드,038400.KS,2001-12-21
769,우창건설,029240.KS,1976-12-27
770,율산실업,029980.KS,1978-01-30
771,이코리아리츠,138440.KS,2011-03-10
772,인성기연,028620.KS,1989-01-26
773,인켈,006510.KS,1981-12-19
774,인터피온반도체,014010.KS,1989-06-21
775,일진,010510.KS,1988-06-18
776,일화모직공업,001590.KS,1989-07-29
777,진흥저축은행,007200.KS,1985-04-09
778,케드콤,011050.KS,1988-09-01
779,코리아07호,099210.KS,2008-01-07
780,코원에너지서비스,026870.KS,1995-12-21
781,코크렙8호,090540.KS,2006-06-15
782,트윈스비전일,034840.KS,1999-04-27
783,파브코,101990.KS,2008-06-09
784,풍림산업,001310.KS,1978-11-30
785,플러스1호,034990.KS,1999-06-17
786,하나은행,004940.KS,1994-04-04
787,한국유리공업,002000.KS,1969-06-27
788,한국전기초자,009720.KS,1995-12-21
789,한국종금,011260.KS,1994-03-29
790,한라시멘트,012910.KS,1990-07-14
791,훈영,017170.KS,1995-07-08
792,휴리프,006210.KS,1977-06-29
793,AJ네트웍스,095570.KS,2015-08-21
794,AK홀딩스,006840.KS,1999-08-11
795,CJ,001040.KS,1973-06-29
796,CJ씨푸드,011150.KS,1988-11-26
797,DB금융투자,016610.KS,1988-06-27
798,DGB금융지주,139130.KS,2011-06-07
799,E1,017940.KS,1997-08-27
800,F&F,007700.KS,1984-10-04
801,KC코트렐,119650.KS,2010-01-29
802,KEC,092220.KS,2006-10-16
803,KISCO홀딩스,001940.KS,1989-11-13
804,LG,003550.KS,1970-02-13
805,LG디스플레이,034220.KS,2004-07-23
806,LS전선아시아,229640.KS,2016-09-22
807,NH프라임리츠,338100.KS,2019-12-05
808,S&T중공업,003570.KS,1976-07-08
809,S&T홀딩스,036530.KS,2002-10-22
810,S-Oil,010950.KS,1987-05-27
811,SK네트웍스,001740.KS,1977-06-30
812,SK케미칼,285130.KS,2018-01-05
813,경동인베스트,012320.KS,1997-03-07
814,계룡건설산업,013580.KS,1996-01-30
815,국동,005320.KS,1996-12-24
816,남양유업,003920.KS,1978-06-24
817,노루페인트,090350.KS,2006-07-03
818,대상,001680.KS,1970-04-01
819,대성홀딩스,016710.KS,1999-12-22
820,대한제강,084010.KS,2005-10-31
821,대호에이엘,069460.KS,2002-11-11
822,덴티움,145720.KS,2017-03-15
823,동원F&B,049770.KS,2000-11-23
824,롯데제과,280360.KS,2017-10-30
825,만호제강,001080.KS,1977-06-18
826,모나미,005360.KS,1974-06-26
827,문배철강,008420.KS,1994-11-05
828,미창석유공업,003650.KS,1989-09-27
829,백광산업,001340.KS,1976-06-10
830,벽산,007210.KS,1972-01-04
831,부국철강,026940.KS,2008-10-14
832,부산도시가스,015350.KS,1997-06-23
833,비비안,002070.KS,1976-07-13
834,비상교육,100220.KS,2008-06-30
835,사조산업,007160.KS,1989-07-25
836,삼성공조,006660.KS,1987-11-28
837,삼성생명,032830.KS,2010-05-12
838,삼성전기,009150.KS,1979-02-27
839,삼양사,145990.KS,2011-12-05
840,삼양패키징,272550.KS,2017-11-29
841,삼일씨엔에스,004440.KS,2016-03-30
842,삼화전기,009470.KS,1986-11-24
843,샘표,007540.KS,1976-06-29
844,서흥,008490.KS,1990-03-27
845,세하,027970.KS,1996-07-03
846,수산중공업,017550.KS,1991-08-30
847,신세계I&C,035510.KS,2006-05-18
848,신세계건설,034300.KS,2002-06-17
849,신영와코루,005800.KS,1976-12-28
850,신영증권,001720.KS,1987-08-24
851,신원,009270.KS,1988-08-24
852,신풍제지,002870.KS,1976-06-30
853,아주캐피탈,033660.KS,2009-06-25
854,에스엘,005850.KS,1988-11-08
855,에이프로젠 KIC,007460.KS,1995-07-08
856,엘브이엠씨,900140.KS,2010-11-30
857,엘에스일렉트릭,010120.KS,1994-07-11
858,오리온,271560.KS,2017-07-07
859,우리금융지주,316140.KS,2019-02-13
860,우성사료,006980.KS,1988-10-10
861,웰바이오텍,010600.KS,1997-07-18
862,유니온,000910.KS,1996-07-03
863,유안타증권,003470.KS,1988-01-21
864,일진전기,103590.KS,2008-08-01
865,조광피혁,004700.KS,1977-05-27
866,조일알미늄,018470.KS,1988-11-22
867,진흥기업,002780.KS,1977-06-25
868,카카오,035720.KS,2017-07-10
869,케이씨티시,009070.KS,1978-09-29
870,케이티,030200.KS,1998-12-23
871,코리안리,003690.KS,1969-12-22
872,코스맥스비티아이,044820.KS,2006-11-13
873,코오롱머티리얼,144620.KS,2012-04-05
874,크라운제과,264900.KS,2017-04-11
875,크라운해태홀딩스,005740.KS,1976-06-30
876,태림포장,011280.KS,1988-12-20
877,태원물산,001420.KS,1975-06-24
878,티에이치엔,019180.KS,1996-07-31
879,팬오션,028670.KS,2007-09-21
880,평화산업,090080.KS,2006-06-02
881,하나투어,039130.KS,2011-11-01
882,하이골드12호,172580.KS,2013-07-12
883,한국프랜지공업,010100.KS,1987-10-02
884,한독,002390.KS,1976-06-30
885,한세엠케이,069640.KS,2011-06-21
886,한솔제지,213500.KS,2015-01-26
887,한솔케미칼,014680.KS,1989-05-20
888,한솔테크닉스,004710.KS,1988-07-06
889,한온시스템,018880.KS,1996-07-31
890,한진,002320.KS,1974-08-12
891,해성디에스,195870.KS,2016-06-24
892,현대리바트,079430.KS,2005-11-22
893,현대백화점,069960.KS,2002-11-25
894,형지엘리트,093240.KS,2009-09-28
895,혜인,003010.KS,1988-09-20
896,화성산업,002460.KS,1988-09-29
897,휴비스,079980.KS,2012-02-23
898,AP우주통신,015670.KS,1991-02-08
899,BHK,003990.KS,1976-12-27
900,SK인천정유,006290.KS,1987-09-10
901,STX조선해양,067250.KS,2003-10-27
902,거북선1호선박투자,092970.KS,2006-11-07
903,경남모직,001670.KS,1975-12-27
904,경남종금,014400.KS,1988-05-25
905,고려화학,010110.KS,1985-11-13
906,고제,002540.KS,1989-10-12
907,굿리치경매2,088510.KS,2006-02-01
908,금성계전,010000.KS,1978-09-29
909,금호건설,000570.KS,1978-06-30
910,나눔공간,028940.KS,1977-06-25
911,대구은행,005270.KS,1972-05-12
912,대망,028370.KS,1975-05-09
913,대선주조,004110.KS,1989-01-21
914,대우송도개발,004550.KS,1978-07-31
915,대한종합건설,029030.KS,1978-11-25
916,동북아11호선박투자,083360.KS,2005-08-29
917,동북아28호,089180.KS,2006-05-19
918,동북아4호,080970.KS,2004-12-29
919,동북아8호,082110.KS,2005-02-22
920,두산건설,002950.KS,1975-12-09
921,로케트전기,000420.KS,1988-08-05
922,맵스베트남1,094520.KS,2007-02-01
923,벽산개발,002080.KS,1976-05-26
924,삼미,002580.KS,1976-03-26
925,삼영금속,029120.KS,1977-06-18
926,서통,001150.KS,1974-11-26
927,세명종합건설,029840.KS,1978-06-07
928,신성이엔지,104110.KS,2008-09-01
929,신세계종금,016690.KS,1988-06-27
930,신화건설,006160.KS,1988-05-24
931,아남정밀,028490.KS,1989-09-07
932,아시아1호,080180.KS,2004-10-15
933,아시아6호,082250.KS,2005-03-16
934,아시아차,004280.KS,1988-10-20
935,에스와이코퍼레이션,008080.KS,1987-12-21
936,오렌지라이프,079440.KS,2017-05-11
937,온미디어,045710.KS,2006-07-03
938,전북은행,006350.KS,1972-03-22
939,제일냉동,010910.KS,1989-08-03
940,제일모직,001300.KS,1975-05-15
941,조인에너지,004820.KS,1990-06-04
942,중원,003840.KS,1989-09-08
943,충북은행,007240.KS,1974-03-30
944,케이씨오에너지,011400.KS,1991-02-12
945,케이알제2호,101790.KS,2008-05-08
946,코리아04호,091000.KS,2006-07-21
947,코스파이더,034190.KS,1999-02-09
948,코오롱유화,011020.KS,1988-07-06
949,하이골드2호,139200.KS,2011-04-15
950,하이트맥주,103150.KS,2008-07-30
951,한국유리,028760.KS,1968-02-01
952,한국저축은행,025610.KS,1995-03-17
953,한국컴퓨터지주,009760.KS,1988-07-28
954,한양,008690.KS,1976-12-28
955,한일은행,000130.KS,1956-03-03
956,한일합섬,003980.KS,1974-01-09
957,한화종금,016480.KS,1988-10-04
958,현대울산종금,015620.KS,1988-03-30
959,현대차써비스,009650.KS,1977-12-01
960,효성물산,001930.KS,1977-06-30
961,휴닉스,009790.KS,1988-01-11
962,CS홀딩스,000590.KS,1975-12-22
963,DB,012030.KS,1993-01-06
964,GS리테일,007070.KS,2011-12-23
965,HDC,012630.KS,1996-10-16
966,JW생명과학,234080.KS,2016-10-27
967,KC그린홀딩스,009440.KS,1994-11-05
968,KR모터스,000040.KS,1976-05-25
969,LG유플러스,032640.KS,2008-04-21
970,SPC삼립,005610.KS,1975-05-02
971,경농,002100.KS,1977-06-30
972,경동도시가스,267290.KS,2017-05-12
973,경방,000050.KS,1956-03-03
974,고려제강,002240.KS,1976-05-25
975,광동제약,009290.KS,1989-11-17
976,광주신세계,037710.KS,2002-02-07
977,국도화학,007690.KS,1989-08-05
978,금비,008870.KS,1990-06-08
979,금호타이어,073240.KS,2005-02-17
980,대림산업,000210.KS,1976-02-02
981,대림통상,006570.KS,1975-11-20
982,대신증권,003540.KS,1975-10-01
983,대웅,003090.KS,1973-06-26
984,대원강업,000430.KS,1977-06-22
985,대원전선,006340.KS,1988-05-04
986,대원화성,024890.KS,1997-10-28
987,대유에이텍,002880.KS,1977-02-18
988,더블유게임즈,192080.KS,2019-03-12
989,동부건설,005960.KS,1978-10-30
990,동성제약,002210.KS,1990-01-19
991,동양고속,084670.KS,2005-07-25
992,동양철관,008970.KS,1977-03-05
993,동원수산,030720.KS,1996-11-22
994,롯데쇼핑,023530.KS,2006-02-09
995,메리츠화재,000060.KS,1956-07-02
996,미원에스씨,268280.KS,2017-05-22
997,부광약품,003000.KS,1988-08-05
998,부산산업,011390.KS,1990-09-14
999,비티원,101140.KS,2008-04-02
1000,삼익악기,002450.KS,1988-09-30
1001,삼천리,004690.KS,1976-12-23
1002,서울식품공업,004410.KS,1973-12-28
1003,성창기업지주,000180.KS,1976-06-02
1004,세종공업,033530.KS,2002-09-25
1005,센트럴인사이트,012600.KS,1990-07-10
1006,시디즈,134790.KS,2011-01-25
1007,신도리코,029530.KS,1996-12-24
1008,아모레퍼시픽그룹,002790.KS,1973-04-30
1009,아시아나IDT,267850.KS,2018-11-23
1010,아시아나항공,020560.KS,2008-03-28
1011,알루코,001780.KS,2007-06-07
1012,에스제이엠홀딩스,025530.KS,1997-02-12
1013,엔에스쇼핑,138250.KS,2015-03-27
1014,오뚜기,007310.KS,1994-08-12
1015,유성기업,002920.KS,1988-10-10
1016,유양디앤유,011690.KS,1995-12-21
1017,이리츠코크렙,088260.KS,2018-06-27
1018,이수페타시스,007660.KS,2003-10-07
1019,이아이디,093230.KS,2007-11-01
1020,인디에프,014990.KS,1989-06-20
1021,일동홀딩스,000230.KS,1975-06-28
1022,일진홀딩스,015860.KS,1990-03-22
1023,자이에스앤디,317400.KS,2019-11-06
1024,자화전자,033240.KS,1999-01-06
1025,전방,000950.KS,1968-10-21
1026,제이알글로벌리츠,348950.KS,2020-08-07
1027,제이콘텐트리,036420.KS,2019-10-18
1028,제일기획,030000.KS,1998-03-03
1029,지투알,035000.KS,1999-08-11
1030,진양폴리우레탄,010640.KS,1989-09-30
1031,케이씨씨,002380.KS,1973-06-25
1032,코스맥스,192820.KS,2014-04-07
1033,콤텍시스템,031820.KS,1997-02-12
1034,태경비케이,014580.KS,1991-03-07
1035,티웨이항공,091810.KS,2018-08-01
1036,퍼스텍,010820.KS,1989-05-10
1037,포스코인터내셔널,047050.KS,2001-03-23
1038,하이골드3호,153360.KS,2012-05-04
1039,한국ANKOR유전,152550.KS,2012-03-08
1040,한국내화,010040.KS,2000-10-16
1041,한국주철관공업,000970.KS,1969-12-12
1042,한국콜마,161890.KS,2012-10-19
1043,한국화장품,123690.KS,2010-06-01
1044,한라,014790.KS,1994-08-12
1045,한미반도체,042700.KS,2005-07-22
1046,한섬,020000.KS,1996-07-03
1047,한세실업,105630.KS,2009-03-20
1048,한올바이오파마,009420.KS,1989-12-18
1049,한전산업,130660.KS,2010-12-16
1050,한화손해보험,000370.KS,1975-06-30
1051,핸즈코퍼레이션,143210.KS,2016-12-02
1052,현대오토에버,307950.KS,2019-03-28
1053,화승엔터프라이즈,241590.KS,2016-10-04
1054,화인베스틸,133820.KS,2014-07-22
1055,화천기계,010660.KS,1988-12-12
1056,효성첨단소재,298050.KS,2018-07-13
1057,후성,093370.KS,2006-12-22
1058,휠라홀딩스,081660.KS,2010-09-28
1059,휴스틸,005010.KS,1973-06-29
1060,LG생명과학,068870.KS,2002-08-16
1061,LG석유화학,012990.KS,2001-07-18
1062,SK,003600.KS,1984-11-12
1063,거북선3호,102000.KS,2008-04-25
1064,거북선5호,114130.KS,2009-10-01
1065,고합,004460.KS,1973-10-25
1066,공영토건,001700.KS,1977-12-24
1067,광덕물산,003590.KS,1986-04-29
1068,금강화섬,010730.KS,1990-06-09
1069,남양,003020.KS,1977-05-27
1070,넥상스코리아,003050.KS,1989-03-13
1071,넥솔론,110570.KS,2011-10-14
1072,대도상사,028500.KS,1989-08-22
1073,대동은행,021600.KS,1996-07-03
1074,대미실업,015090.KS,1989-07-28
1075,대성합동지주,005620.KS,1976-12-28
1076,대우실업,029040.KS,1973-08-10
1077,대한석유지주,029210.KS,1976-08-18
1078,대한은박지,007480.KS,1991-08-30
1079,대한중석,000160.KS,1962-07-13
1080,동국방직,011180.KS,1989-01-26
1081,동방개발,012150.KS,1988-09-20
1082,동부산업,003970.KS,1975-06-30
1083,동부화학,008950.KS,1989-12-01
1084,동북아6호,080410.KS,2004-11-30
1085,동성반도체,016070.KS,1990-09-14
1086,동아건설,000280.KS,1973-11-08
1087,동양정밀,001100.KS,1973-06-26
1088,디와이홀딩스,004510.KS,1996-10-16
1089,리얼티코리아제1호,072450.KS,2003-05-13
1090,메디슨,018360.KS,1996-01-30
1091,바로크,017120.KS,1989-12-18
1092,박현주3호,034200.KS,1999-04-29
1093,반도스포츠,028480.KS,1986-08-23
1094,배명금속,011800.KS,1990-07-14
1095,삼애인더스,009330.KS,1989-11-11
1096,세방해운,029160.KS,1975-12-26
1097,신동양건설,028390.KS,1978-09-15
1098,씨크롭,016970.KS,1989-09-12
1099,아시아10호,083570.KS,2005-08-23
1100,영남종금,024960.KS,1995-03-17
1101,오라바이오틱스,016160.KS,1989-06-26
1102,요업개발,006900.KS,1991-02-12
1103,우리스팩1호,122750.KS,2010-05-11
1104,우생,028570.KS,1990-09-20
1105,유성티에스아이,024870.KS,1997-08-27
1106,일신제강,028340.KS,1973-08-24
1107,일은증권,008530.KS,1976-04-26
1108,제로원인터랙티브,069470.KS,2002-11-11
1109,진도물산,006240.KS,1988-10-05
1110,진로식품,004730.KS,1973-08-24
1111,충청은행,005510.KS,1972-06-26
1112,케이비물산,008540.KS,1990-01-16
1113,케이비부국위탁리츠,149130.KS,2012-06-12
1114,코리아05호,093400.KS,2007-01-22
1115,코리아06호,093410.KS,2007-01-22
1116,코오롱인터내셔널,063510.KS,2001-12-24
1117,코크렙15호,121550.KS,2010-01-29
1118,코크렙7호,086720.KS,2005-11-11
1119,태일정밀,017320.KS,1989-06-05
1120,태창기업,007490.KS,1976-12-28
1121,태평양건설,028460.KS,1977-06-09
1122,태화,000510.KS,1974-06-28
1123,팬택자산관리,025930.KS,1997-08-27
1124,하나IB,003330.KS,1986-11-25
1125,하나은행_피흡수,007360.KS,1972-06-05
1126,한국아태특별,098150.KS,2007-09-05
1127,한진해운,117930.KS,2009-12-29
1128,해태유업,003900.KS,1979-02-15
1129,호남식품,007100.KS,1978-06-30
1130,BGF,027410.KS,2014-05-19
1131,DB하이텍,000990.KS,1975-12-12
1132,HSD엔진,082740.KS,2011-01-04
1133,KG동부제철,016380.KS,1986-02-03
1134,KTB투자증권,030210.KS,1996-11-19
1135,KTcs,058850.KS,2010-09-16
1136,LG생활건강,051900.KS,2001-04-25
1137,SG세계물산,004060.KS,1976-04-19
1138,SIMPAC,009160.KS,1989-07-29
1139,SKC,011790.KS,1997-07-18
1140,SK가스,018670.KS,1997-08-27
1141,SK디앤디,210980.KS,2015-06-23
1142,SK렌터카,068400.KS,2012-07-27
1143,STX엔진,077970.KS,2004-05-10
1144,STX중공업,071970.KS,2009-05-15
1145,TCC스틸,002710.KS,1984-12-21
1146,가온전선,000500.KS,1987-06-08
1147,경보제약,214390.KS,2015-06-29
1148,계양전기,012200.KS,1988-07-06
1149,고려산업,002140.KS,1991-01-14
1150,광전자,017900.KS,1996-10-16
1151,기아자동차,000270.KS,1973-07-21
1152,넥센,005720.KS,1987-12-19
1153,넥스트사이언스,003580.KS,1990-03-23
1154,농심,004370.KS,1976-06-30
1155,다우기술,023590.KS,1997-08-27
1156,대성산업,128820.KS,2010-07-30
1157,대유플러스,000300.KS,1975-06-09
1158,대한전선,001440.KS,1968-12-27
1159,대한제분,001130.KS,1970-11-25
1160,대한항공,003490.KS,1966-03-18
1161,대한화섬,003830.KS,1985-12-23
1162,동남합성,023450.KS,1996-12-24
1163,동방,004140.KS,1988-08-10
1164,동아타이어,282690.KS,2017-11-29
1165,동양피스톤,092780.KS,2017-12-08
1166,동원시스템즈,014820.KS,1994-03-29
1167,디와이파워,210540.KS,2015-01-15
1168,롯데리츠,330590.KS,2019-10-30
1169,메리츠금융지주,138040.KS,2011-05-13
1170,무림P&P,009580.KS,1989-06-20
1171,미원상사,002840.KS,1989-09-25
1172,방림,003610.KS,1989-05-30
1173,보령제약,003850.KS,1988-10-24
1174,사조오양,006090.KS,1986-12-24
1175,삼아알미늄,006110.KS,1980-12-05
1176,삼호개발,010960.KS,2005-05-12
1177,삼화전자공업,011230.KS,1987-05-25
1178,삼화페인트공업,000390.KS,1993-09-10
1179,새론오토모티브,075180.KS,2005-10-21
1180,성문전자,014910.KS,1990-03-24
1181,세아베스틸,001430.KS,1991-03-12
1182,세아제강지주,003030.KS,1969-05-13
1183,신풍제약,019170.KS,1990-01-20
1184,쌍방울,102280.KS,2008-06-10
1185,쌍용양회공업,003410.KS,1975-05-03
1186,씨에스윈드,112610.KS,2014-11-27
1187,아남전자,008700.KS,1984-08-11
1188,아세아제지,002310.KS,1988-12-15
1189,애경유화,161000.KS,2012-09-17
1190,에쓰씨엔지니어링,023960.KS,1997-06-23
1191,에어부산,298690.KS,2018-12-27
1192,엔케이물산,009810.KS,1988-08-31
1193,영흥,012160.KS,2010-01-25
1194,오리엔트바이오,002630.KS,1976-12-28
1195,오리온홀딩스,001800.KS,1975-06-27
1196,용평리조트,070960.KS,2016-05-27
1197,웅진,016880.KS,1994-11-05
1198,원림,005820.KS,1990-04-20
1199,유니퀘스트,077500.KS,2004-08-05
1200,이엔플러스,074610.KS,2003-12-23
1201,이지스밸류플러스리츠,334890.KS,2020-07-16
1202,일동제약,249420.KS,2016-08-31
1203,일신석재,007110.KS,1986-03-04
1204,일양약품,007570.KS,1974-08-28
1205,주연테크,044380.KS,2006-11-15
1206,지코,010580.KS,1994-12-27
1207,진양산업,003780.KS,1973-06-26
1208,케이비아이동국실업,001620.KS,1990-09-15
1209,케이씨,029460.KS,1997-11-25
1210,케이티스카이라이프,053210.KS,2011-06-03
1211,코오롱,002020.KS,1975-06-23
1212,티웨이홀딩스,004870.KS,1977-06-30
1213,파미셀,005690.KS,1988-05-20
1214,평화홀딩스,010770.KS,1986-03-31
1215,풀무원,017810.KS,1995-10-05
1216,하이트진로홀딩스,000140.KS,1973-09-19
1217,한국단자공업,025540.KS,1996-10-16
1218,한국조선해양,009540.KS,1999-08-24
1219,한국카본,017960.KS,1995-07-08
1220,한농화성,011500.KS,2003-01-09
1221,한신공영,004960.KS,1976-07-07
1222,한익스프레스,014130.KS,1989-07-25
1223,한전기술,052690.KS,2009-12-14
1224,한화투자증권,003530.KS,1986-11-25
1225,현대글로비스,086280.KS,2005-12-26
1226,현대중공업지주,267250.KS,2017-05-10
1227,현대해상,001450.KS,1989-08-25
1228,화승알앤에이,013520.KS,1991-02-22
1229,효성중공업,298040.KS,2018-07-13
1230,효성티앤씨,298020.KS,2018-07-13
1231,C&중공업,008400.KS,1987-11-18
1232,FNC코오롱,001370.KS,1988-05-25
1233,LG데이콤,015940.KS,1993-01-30
1234,갑을방적,011290.KS,1988-07-28
1235,고려원양어업,028330.KS,1973-06-27
1236,고려종금,017110.KS,1988-03-28
1237,골든경매일호,084160.KS,2005-07-27
1238,광주은행,192530.KS,2014-05-22
1239,광주은행,005770.KS,1973-02-26
1240,극동전선,006250.KS,1988-09-29
1241,극동제혁,010200.KS,1989-06-03
1242,글로스텍,012410.KS,1989-09-29
1243,금성부품,028470.KS,1989-08-05
1244,기아차판매,007170.KS,1989-12-18
1245,남선물산,005000.KS,1976-06-30
1246,논노,015780.KS,1989-08-25
1247,대농건설,029200.KS,1977-12-23
1248,대상교역,006790.KS,1990-01-18
1249,대양상호신용금고,013250.KS,1996-11-19
1250,대우,003810.KS,1977-06-30
1251,대우증권스팩,121910.KS,2010-03-03
1252,도레이케미칼,008000.KS,1977-06-30
1253,동남은행,021610.KS,1996-07-03
1254,동북아10호선박투자,083350.KS,2005-08-29
1255,동북아13호선박투자,083380.KS,2005-08-29
1256,동북아1호,078420.KS,2004-09-17
1257,동북아2호,080030.KS,2004-10-22
1258,동북아31호,093730.KS,2007-01-22
1259,동북아3호,080960.KS,2004-12-29
1260,두산식품,001610.KS,1975-12-27
1261,라미화장품,010330.KS,1988-08-08
1262,베네데스하이텍,009360.KS,1990-01-29
1263,삼양타이어,029180.KS,1974-03-11
1264,선진금속,018570.KS,1996-07-31
1265,셀런,013240.KS,1996-07-31
1266,스탠다드차타드은행,000110.KS,1956-03-03
1267,신광산업,005410.KS,1988-12-24
1268,신세계톰보이,012580.KS,1988-09-01
1269,신일건업,014350.KS,1989-11-11
1270,신한,005450.KS,1978-07-28
1271,신화,016640.KS,1990-01-20
1272,씨앤상선,000790.KS,1977-11-09
1273,씨앤우방,013200.KS,1997-02-12
1274,아시아3호,081200.KS,2005-01-04
1275,아시아4호,081210.KS,2005-01-28
1276,아시아9호,081940.KS,2005-03-16
1277,엠피챌린지,035340.KS,1999-07-28
1278,옥전산업,028960.KS,1977-12-23
1279,옥포기업,029010.KS,1977-06-15
1280,옵티멈전환일,038270.KS,2000-01-18
1281,우리증권,001280.KS,1988-07-26
1282,위너스인프라인,005760.KS,1976-04-01
1283,유레스메리츠제1호,073470.KS,2003-08-29
1284,유성,002340.KS,1989-09-30
1285,중국원양자원,900050.KS,2009-05-22
1286,중앙건설,015110.KS,1994-11-05
1287,청솔종금,015080.KS,1988-10-29
1288,코오롱종합전기,029220.KS,1976-05-01
1289,포스코플랜텍,051310.KS,2007-11-29
1290,피앤텍,013820.KS,1989-06-20
1291,하이콘테그,000310.KS,1972-05-01
1292,한국안전유리,018550.KS,1994-04-29
1293,한국유전15-1,093820.KS,2007-01-02
