,회사명,종목코드,상장일
137,뉴프렉스,085670.KQ,2006-01-17
138,대봉엘에스,078140.KQ,2005-12-23
139,대유,290380.KQ,2018-08-10
140,대유에이피,290120.KQ,2018-12-07
141,대주산업,003310.KQ,1992-08-01
142,대한약품,023910.KQ,1994-11-23
143,동구바이오제약,006620.KQ,2018-02-13
144,동방선기,099410.KQ,2009-11-10
145,디에이테크놀로지,196490.KQ,2014-11-19
146,디에이피,066900.KQ,2004-05-14
147,디엔에이링크,127120.KQ,2011-12-26
148,디엔에프,092070.KQ,2007-11-16
149,디오,039840.KQ,2000-06-29
150,디오스텍,196450.KQ,2014-06-02
151,디지탈옵틱,106520.KQ,2012-07-13
152,디지틀조선,033130.KQ,1997-08-06
153,룽투코리아,060240.KQ,2002-01-04
154,링크제니시스,219420.KQ,2018-02-05
155,메디톡스,086900.KQ,2009-01-16
156,메이슨캐피탈,021880.KQ,1996-09-02
157,메탈라이프,327260.KQ,2019-12-24
158,모비스,250060.KQ,2016-09-08
159,모트렉스,118990.KQ,2017-08-04
160,미래SCI,028040.KQ,1996-07-27
161,미스터블루,207760.KQ,2014-12-12
162,미코바이오메드,214610.KQ,2020-10-22
163,바디텍메드,206640.KQ,2014-12-29
164,바이넥스,053030.KQ,2001-08-07
165,브랜드엑스코퍼레이션,337930.KQ,2020-08-13
166,삼보판지,023600.KQ,1996-05-29
167,삼본전자,111870.KQ,2010-11-05
168,삼아제약,009300.KQ,2000-07-19
169,상지카일룸,042940.KQ,2000-10-19
170,서암기계공업,100660.KQ,2011-12-19
171,성창오토텍,080470.KQ,2006-11-03
172,세보엠이씨,011560.KQ,1996-12-23
173,세종메디칼,258830.KQ,2018-05-29
174,세코닉스,053450.KQ,2001-08-09
175,셀루메드,049180.KQ,2002-05-23
176,셀바스헬스케어,208370.KQ,2014-12-17
177,셀트리온제약,068760.KQ,2006-02-03
178,스튜디오산타클로스,204630.KQ,2014-12-29
179,스페코,013810.KQ,1997-11-03
180,승일,049830.KQ,2001-01-18
181,심텍,222800.KQ,2015-08-07
182,쌍용정보통신,010280.KQ,2000-04-14
183,씨유메디칼,115480.KQ,2011-12-15
184,씨케이에이치,900120.KQ,2010-03-31
185,아나패스,123860.KQ,2010-11-05
186,아바텍,149950.KQ,2012-11-06
187,아이센스,099190.KQ,2013-01-30
188,아이씨디,040910.KQ,2011-08-05
189,아이씨케이,068940.KQ,2010-10-19
190,아이오케이,078860.KQ,2006-06-27
191,아이원스,114810.KQ,2013-02-07
192,아이즈비전,031310.KQ,1997-07-25
193,아이티센,124500.KQ,2014-12-23
194,알리코제약,260660.KQ,2018-02-12
195,알에프세미,096610.KQ,2007-11-20
196,알에프텍,061040.KQ,2002-05-16
197,애니플러스,310200.KQ,2018-12-21
198,에스아이리소스,065420.KQ,2002-08-22
199,에스에너지,095910.KQ,2007-10-16
200,에스코넥,096630.KQ,2007-12-26
201,에쎈테크,043340.KQ,2000-08-29
202,에이루트,096690.KQ,2010-12-01
203,에이티넘인베스트,021080.KQ,1991-07-12
204,엑세스바이오,950130.KQ,2013-05-30
205,엑시콘,092870.KQ,2015-10-22
206,엔투텍,227950.KQ,2015-11-18
207,엔피케이,048830.KQ,2000-10-12
208,엠게임,058630.KQ,2008-12-19
209,엠벤처투자,019590.KQ,1989-03-14
210,엠씨넥스,097520.KQ,2012-07-25
211,영화테크,265560.KQ,2017-10-26
212,오공,045060.KQ,2000-08-10
213,오스템임플란트,048260.KQ,2007-02-07
214,오픈베이스,049480.KQ,2001-01-09
215,옵티시스,109080.KQ,2011-07-12
216,와이지-원,019210.KQ,1997-08-06
217,우리바이오,082850.KQ,2005-07-29
218,원익QnC,074600.KQ,2003-12-12
219,원익큐브,014190.KQ,1996-04-26
220,원풍물산,008290.KQ,1997-07-18
221,웨이브일렉트로,095270.KQ,2007-09-12
222,웰크론,065950.KQ,2003-07-29
223,위지트,036090.KQ,1999-12-10
224,유니온커뮤니티,203450.KQ,2016-12-07
225,유니테크노,241690.KQ,2016-09-20
226,유비쿼스홀딩스,078070.KQ,2009-01-23
227,유신,054930.KQ,2002-01-15
228,유안타제5호스팩,336060.KQ,2019-11-28
229,유진스팩5호,331380.KQ,2019-10-02
230,유테크,178780.KQ,2015-06-30
231,유티아이,179900.KQ,2017-09-27
232,이스트소프트,047560.KQ,2008-07-01
233,이스트아시아홀딩스,900110.KQ,2010-04-23
234,이엠넷,123570.KQ,2011-11-25
235,이지바이오,353810.KQ,2020-06-05
236,이지웰,090850.KQ,2013-12-27
237,인베니아,079950.KQ,2005-02-04
238,인텍플러스,064290.KQ,2011-01-05
239,자비스,254120.KQ,2016-12-02
240,자이글,234920.KQ,2016-09-06
241,장원테크,174880.KQ,2016-07-15
242,정상제이엘에스,040420.KQ,2000-08-01
243,제우스,079370.KQ,2006-02-01
244,제이엠티,094970.KQ,2007-10-12
245,제이웨이,058420.KQ,2002-01-10
246,제일제강,023440.KQ,1994-10-07
247,제주반도체,080220.KQ,2005-02-01
248,젬백스,082270.KQ,2005-06-24
249,조아제약,034940.KQ,1999-08-13
250,주성엔지니어링,036930.KQ,1999-12-24
251,지엔씨에너지,119850.KQ,2013-10-02
252,지엔코,065060.KQ,2002-05-28
253,캐스텍코리아,071850.KQ,2014-05-27
254,케이비제20호스팩,342550.KQ,2020-01-30
255,케이피엠테크,042040.KQ,2003-01-07
256,케이피티유,054410.KQ,2002-04-25
257,켄코아에어로스페이스,274090.KQ,2020-03-03
258,코렌,078650.KQ,2010-10-22
259,코윈테크,282880.KQ,2019-08-05
260,코프라,126600.KQ,2010-11-12
261,키네마스터,139670.KQ,2011-12-02
262,토탈소프트,045340.KQ,2002-07-19
263,투비소프트,079970.KQ,2010-06-01
264,트루윈,105550.KQ,2014-07-11
265,특수건설,026150.KQ,1997-08-06
266,티앤알바이오팹,246710.KQ,2018-11-28
267,티에스이,131290.KQ,2011-01-05
268,파세코,037070.KQ,2000-01-04
269,파커스,065690.KQ,2002-07-16
270,패션플랫폼,225590.KQ,2015-10-05
271,푸드웰,005670.KQ,1993-12-07
272,프로스테믹스,203690.KQ,2014-09-30
273,피델릭스,032580.KQ,1997-04-22
274,피에스엠씨,024850.KQ,2001-01-18
275,하나금융15호스팩,341160.KQ,2020-01-30
276,하이즈항공,221840.KQ,2015-11-25
277,한국맥널티,222980.KQ,2015-12-23
278,한국코퍼레이션,050540.KQ,2005-12-12
279,한양디지텍,078350.KQ,2004-05-14
280,한일진공,123840.KQ,2010-10-05
281,한일화학,007770.KQ,1992-09-07
282,해덕파워웨이,102210.KQ,2009-05-21
283,현대바이오,048410.KQ,2002-08-08
284,화성밸브,039610.KQ,2000-03-16
285,휴림로봇,090710.KQ,2006-12-05
286,휴맥스,115160.KQ,2009-11-16
287,휴온스글로벌,084110.KQ,2006-12-19
288,CJ프론티어,039720.KQ,2000-04-21
