,회사명,종목코드,상장일
609,더존디지털,045380.KQ,2000-12-07
610,동미전기,008330.KQ,1996-07-01
611,디에스피,016040.KQ,1993-12-07
612,디이시스,053200.KQ,2001-12-26
613,마이다스30,043040.KQ,2000-06-16
614,마이다스페셜,039540.KQ,2000-03-31
615,마이다스하이테크성장,036400.KQ,1999-11-12
616,마이스코,088700.KQ,2008-01-25
617,마인,039500.KQ,2000-03-16
618,미래에셋대우스팩1호,265480.KQ,2017-05-26
619,미래에셋드림펀드,034820.KQ,1999-06-11
620,미래에셋실크로드이호,035310.KQ,1999-08-13
621,미래코리아1,042950.KQ,2000-06-16
622,바이오빌,065940.KQ,2003-01-07
623,바이오시스,035960.KQ,1999-12-03
624,벤처코스닥,038280.KQ,2000-03-17
625,보광티에스,066690.KQ,2008-10-06
626,부산저축은행,007830.KQ,1993-12-01
627,브이에스에스티,035400.KQ,1999-08-27
628,삼성투신증권,022060.KQ,1999-08-13
629,삼성프라임성장형뮤추,035530.KQ,1999-09-17
630,삼주건설,025150.KQ,1996-07-01
631,세계투어,047600.KQ,2001-01-11
632,세림아이텍,033040.KQ,1997-08-18
633,세미텍,081220.KQ,2008-05-23
634,세아메탈,033020.KQ,2001-05-10
635,세원텔레콤,036910.KQ,1999-11-11
636,스타맥스,017050.KQ,1994-06-28
637,스톰이앤에프,043680.KQ,2000-07-27
638,신중앙금고,007990.KQ,1996-07-01
639,신한종합비료,019230.KQ,1996-07-01
640,쓰리디월드,065340.KQ,2002-09-26
641,씨앤케이인터,039530.KQ,2000-03-21
642,아이디에스,078780.KQ,2005-11-29
643,알바트로스3,036780.KQ,1999-12-24
644,에듀언스,009010.KQ,1993-12-29
645,에버리소스,020070.KQ,1994-12-29
646,에스이아이주,035940.KQ,1999-09-17
647,에스티씨라이프,026220.KQ,1995-10-06
648,에이스앤파트너스,032930.KQ,1997-07-14
649,에피밸리,068630.KQ,2005-10-27
650,엔에스브이,095300.KQ,2009-04-17
651,엔에이치SL스팩,207720.KQ,2014-12-17
652,엔플렉스,040130.KQ,2000-05-03
653,엘리트1호,037670.KQ,2000-01-12
654,엘앤씨피,015390.KQ,2001-08-09
655,엘티삼보,011870.KQ,1996-07-01
656,와이즈파워,040670.KQ,2000-08-18
657,월드그랜드1,038020.KQ,2000-01-12
658,윌텍정보통신,039390.KQ,2000-07-25
659,유에이블,071530.KQ,2004-02-17
660,유퍼트,060670.KQ,2003-06-17
661,이수세라믹,032180.KQ,2000-04-18
662,일공공일안경,032030.KQ,1997-01-23
663,자강,036790.KQ,1999-12-16
664,제너비오믹스,017010.KQ,2003-01-28
665,케이이엔지,077960.KQ,2004-10-29
666,코어비트,056850.KQ,2001-12-20
667,코웰이홀딩스,900020.KQ,2008-01-29
668,콜마파마,038710.KQ,2002-02-19
669,쿠첸,225650.KQ,2015-09-04
670,태영텔스타,060840.KQ,2002-02-07
671,테라리소스,053320.KQ,2002-01-04
672,토자이홀딩스,037700.KQ,1999-12-24
673,투미비티,058900.KQ,2004-10-29
674,파이오니어,035030.KQ,1999-07-16
675,퓨쳐비젼,042570.KQ,2000-10-19
676,프로비타,014420.KQ,1993-11-05
677,플래티넘이천,039520.KQ,2000-03-17
678,하나에프앤아이,025080.KQ,1995-02-01
679,하우리,049130.KQ,2002-01-22
680,현대멀티캡,035910.KQ,1999-11-23
681,협화,007840.KQ,1996-07-01
682,화림모드,045920.KQ,2000-10-06
683,DB금융스팩7호,322780.KQ,2019-05-31
684,EMW,079190.KQ,2005-11-29
685,IBKS제10호스팩,299170.KQ,2018-09-21
686,JTC,950170.KQ,2018-04-06
687,KCC건설,021320.KQ,2001-08-21
688,KCI,036670.KQ,2001-01-03
689,KD,044180.KQ,2000-11-16
690,KG ETS,151860.KQ,2013-07-24
691,KG모빌리언스,046440.KQ,2004-12-14
692,KMH,122450.KQ,2011-05-25
693,NEW,160550.KQ,2014-12-23
694,SBI핀테크솔루션즈,950110.KQ,2012-12-17
695,SGA솔루션즈,184230.KQ,2013-12-20
696,SM Life Design,063440.KQ,2002-05-30
697,W홀딩컴퍼니,052300.KQ,2001-08-02
698,교보9호스팩,331520.KQ,2019-10-29
699,나노신소재,121600.KQ,2011-02-09
700,나인테크,267320.KQ,2017-06-22
701,넥스트아이,137940.KQ,2011-06-14
702,넥슨지티,041140.KQ,2000-07-25
703,노터스,278650.KQ,2019-11-27
704,누리플랜,069140.KQ,2010-10-26
705,뉴프라이드,900100.KQ,2010-04-21
706,다산네트웍스,039560.KQ,2000-06-22
707,다원시스,068240.KQ,2010-09-14
708,대명소노시즌,007720.KQ,1994-01-06
709,대성미생물,036480.KQ,2000-04-04
710,대신밸런스제6호스팩,307750.KQ,2018-12-19
711,대원산업,005710.KQ,1993-06-21
712,덕신하우징,090410.KQ,2014-08-01
713,데일리블록체인,139050.KQ,2011-07-29
714,덴티스,261200.KQ,2017-06-26
715,동신건설,025950.KQ,1995-08-07
716,동일기연,032960.KQ,1997-07-18
717,듀오백,073190.KQ,2004-02-06
718,디딤,217620.KQ,2015-06-10
719,디지아이,043360.KQ,2001-07-20
720,디지털대성,068930.KQ,2003-10-17
721,디티앤씨,187220.KQ,2014-12-17
722,라이브플렉스,050120.KQ,2002-04-25
723,램테크놀러지,171010.KQ,2013-11-18
724,레고켐바이오,141080.KQ,2013-05-10
725,로보스타,090360.KQ,2011-10-17
726,리드코프,012700.KQ,1996-01-19
727,메디콕스,054180.KQ,2001-10-16
728,메디포스트,078160.KQ,2005-07-29
729,바이브컴퍼니,301300.KQ,2020-10-28
730,바이오니아,064550.KQ,2005-12-29
731,베뉴지,019010.KQ,1993-11-05
732,베셀,177350.KQ,2015-06-19
733,보라티알,250000.KQ,2017-06-08
734,부방,014470.KQ,1994-02-25
735,브리지텍,064480.KQ,2008-06-04
736,비디아이,148140.KQ,2017-11-09
737,삼진엘앤디,054090.KQ,2004-02-06
738,삼천리자전거,024950.KQ,1995-01-04
739,삼현철강,017480.KQ,2001-01-09
740,상아프론테크,089980.KQ,2011-07-21
741,서산,079650.KQ,2005-01-21
742,서진오토모티브,122690.KQ,2010-05-25
743,성우테크론,045300.KQ,2001-12-18
744,세운메디칼,100700.KQ,2008-09-30
745,세종텔레콤,036630.KQ,2000-01-04
746,소마젠,950200.KQ,2020-07-13
747,솔고바이오,043100.KQ,2000-08-08
748,솔본,035610.KQ,1999-08-13
749,수산아이앤티,050960.KQ,2016-10-11
750,슈펙스비앤피,058530.KQ,2002-02-05
751,슈피겐코리아,192440.KQ,2014-11-05
752,스맥,099440.KQ,2009-05-26
753,스카이이앤엠,131100.KQ,2011-06-14
754,시공테크,020710.KQ,1999-08-13
755,시그네틱스,033170.KQ,2010-11-26
756,신도기연,290520.KQ,2020-07-06
757,신테카바이오,226330.KQ,2019-12-17
758,신한제5호스팩,323230.KQ,2019-06-19
759,실리콘웍스,108320.KQ,2010-06-08
760,쎄노텍,222420.KQ,2015-08-06
761,쎄미시스코,136510.KQ,2011-11-18
762,쎄트렉아이,099320.KQ,2008-06-13
763,씨엠에스에듀,225330.KQ,2016-04-07
764,씨큐브,101240.KQ,2011-11-08
765,아비코전자,036010.KQ,2002-07-03
766,아이디피,332370.KQ,2020-08-24
767,아이엠이연이,090740.KQ,2007-09-19
768,아주IB투자,027360.KQ,2018-11-21
769,아진산업,013310.KQ,2015-12-22
770,아프리카TV,067160.KQ,2003-12-19
771,알티캐스트,085810.KQ,2013-12-06
772,애니젠,196300.KQ,2016-12-07
773,액션스퀘어,205500.KQ,2014-11-12
774,앤디포스,238090.KQ,2016-10-12
775,앱클론,174900.KQ,2017-09-18
776,에스앤더블류,103230.KQ,2009-08-05
777,에스와이,109610.KQ,2015-12-29
778,에스트래픽,234300.KQ,2017-12-05
779,에스퓨얼셀,288620.KQ,2018-10-15
780,에이디칩스,054630.KQ,2001-11-13
781,에이비엘바이오,298380.KQ,2018-12-19
782,에이스침대,003800.KQ,1996-05-03
783,에이스토리,241840.KQ,2019-07-19
784,에이치시티,072990.KQ,2016-10-17
785,에이텍티앤,224110.KQ,2015-08-25
786,엑셈,205100.KQ,2014-11-07
787,엑스큐어,070300.KQ,2010-06-09
788,엔브이에이치코리아,067570.KQ,2013-12-03
789,엔지켐생명과학,183490.KQ,2018-02-21
790,엔케이맥스,182400.KQ,2015-10-23
791,엔텔스,069410.KQ,2007-06-20
792,엘디티,096870.KQ,2008-05-02
793,엘아이에스,138690.KQ,2011-06-02
794,엘컴텍,037950.KQ,2000-08-24
795,연우,115960.KQ,2015-11-02
796,영림원소프트랩,060850.KQ,2020-08-12
797,예스티,122640.KQ,2015-12-16
798,오스테오닉,226400.KQ,2018-02-22
799,오텍,067170.KQ,2003-11-14
800,와이즈버즈,273060.KQ,2017-08-07
801,원익머트리얼즈,104830.KQ,2011-12-28
802,원익홀딩스,030530.KQ,1996-09-24
803,원풍,008370.KQ,1992-12-18
804,웹젠,069080.KQ,2003-05-23
805,위닉스,044340.KQ,2000-10-24
806,위메이드,112040.KQ,2009-12-18
807,유비벨록스,089850.KQ,2010-06-18
808,유비쿼스,264450.KQ,2017-03-31
809,유안타제4호스팩,313750.KQ,2019-03-21
810,유진테크,084370.KQ,2006-01-17
811,이건홀딩스,039020.KQ,2000-05-04
812,이노와이어리스,073490.KQ,2005-02-04
813,이녹스첨단소재,272290.KQ,2017-07-10
814,이랜텍,054210.KQ,2002-05-09
815,이미지스,115610.KQ,2010-02-26
816,이수앱지스,086890.KQ,2009-02-03
817,인산가,277410.KQ,2017-09-29
818,인성정보,033230.KQ,1999-07-30
819,인탑스,049070.KQ,2002-02-21
820,인터파크,035080.KQ,1999-07-05
821,재영솔루텍,049630.KQ,2003-01-24
822,제낙스,065620.KQ,2002-06-27
823,제이티,089790.KQ,2006-10-27
824,진바이오텍,086060.KQ,2006-04-28
825,진성티이씨,036890.KQ,2000-07-20
826,카이노스메드,284620.KQ,2018-06-08
827,캐리소프트,317530.KQ,2019-10-29
828,캔서롭,180400.KQ,2015-11-20
829,캠시스,050110.KQ,2001-05-17
830,케이비제18호스팩,323940.KQ,2019-06-24
831,케이엠더블유,032500.KQ,2000-03-21
832,케이피에프,024880.KQ,1994-12-29
833,코닉글로리,094860.KQ,2007-04-16
834,코드네이처,078940.KQ,2004-08-27
835,코리아에셋투자증권,190650.KQ,2019-11-20
836,코미코,183300.KQ,2017-03-23
837,코이즈,121850.KQ,2012-09-27
838,큐브앤컴퍼니,043090.KQ,2001-10-11
839,키이스트,054780.KQ,2003-11-14
840,탑엔지니어링,065130.KQ,2003-01-29
841,태웅로직스,124560.KQ,2019-12-10
842,테라셈,182690.KQ,2014-10-30
843,텔콘RF제약,200230.KQ,2014-11-24
844,토비스,051360.KQ,2004-11-19
845,티라유텍,322180.KQ,2019-10-31
846,티씨케이,064760.KQ,2003-08-18
847,파라다이스,034230.KQ,2002-11-05
848,파버나인,177830.KQ,2014-08-04
849,파워넷,037030.KQ,2018-06-07
850,팍스넷,038160.KQ,2016-08-01
851,프로텍,053610.KQ,2001-08-17
852,피에스케이,319660.KQ,2019-05-10
853,피엔티,137400.KQ,2012-07-06
854,피플바이오,304840.KQ,2020-10-19
855,픽셀플러스,087600.KQ,2015-06-12
856,필옵틱스,161580.KQ,2017-06-01
857,하나금융14호스팩,332710.KQ,2019-11-01
858,하나금융16호스팩,343510.KQ,2020-07-23
859,하이제4호스팩,317240.KQ,2019-04-29
860,한국제7호스팩,291210.KQ,2018-05-11
861,한국캐피탈,023760.KQ,1994-11-07
862,한류타임즈,039670.KQ,2004-01-16
863,한일네트웍스,046110.KQ,2006-01-20
864,해마로푸드서비스,220630.KQ,2015-08-28
865,헬릭스미스,084990.KQ,2005-12-29
866,희림,037440.KQ,2000-02-03
867,KCW,068060.KQ,2003-01-28
868,KEPS,046810.KQ,2000-08-18
869,KTB벤처1-MF,038370.KQ,2000-03-17
870,LG마이크론,016990.KQ,2000-12-21
871,MTRON,046320.KQ,2001-04-10
872,SSCP,071660.KQ,2005-10-18
873,UC아이콜스,065810.KQ,2003-02-12
874,VK,048760.KQ,2000-10-12
875,강남화성,007140.KQ,1996-07-01
876,교하산업,013850.KQ,1996-07-01
877,글로벌파워,064910.KQ,2002-01-28
878,금강제강,105070.KQ,2010-02-02
879,나이스메탈,072530.KQ,2003-12-05
880,다산씨앤아이,037200.KQ,1999-12-28
881,대구리스금융,025090.KQ,1996-07-01
882,대륭산업,027610.KQ,1996-09-24
883,대주코레스,008340.KQ,1992-12-29
884,대진동관공업,014210.KQ,1996-07-01
885,대한바이오링크,041500.KQ,2001-01-16
886,더체인지,054120.KQ,2002-06-18
887,동서정보기술,055000.KQ,2001-12-18
888,동호전기,022510.KQ,1997-08-18
889,디보스,080140.KQ,2005-05-27
890,디에스,051710.KQ,2004-06-18
891,디에이치패션,045260.KQ,2001-11-08
892,라인건설,017620.KQ,1996-07-01
893,리드,197210.KQ,2015-11-20
894,리젠트빅히트,039270.KQ,2000-04-21
895,마이다스전이,038310.KQ,2000-01-28
896,마이다스차익,048660.KQ,2000-09-25
897,마이다스테2,039050.KQ,2000-03-17
898,모라리소스,018890.KQ,1992-12-18
899,미디어코프,053890.KQ,2002-05-07
900,미래셀렉티브-MF,052540.KQ,2001-04-02
901,미래알바1,044410.KQ,2000-07-10
902,미래에셋이글사호펀드,034570.KQ,1999-07-16
903,미래에셋이글삼호펀드,034560.KQ,1999-06-11
904,미래하이1호,038580.KQ,2000-03-31
905,미래한아름1-MF,044890.KQ,2000-07-10
906,범양사,002480.KQ,1994-12-29
907,보성건설,018230.KQ,1996-07-01
908,보홍,041320.KQ,2000-08-08
909,사이버패스,063280.KQ,2006-07-04
910,삼산,012010.KQ,1996-07-01
911,삼우이엠씨,026250.KQ,1995-11-04
912,삼천전기,008920.KQ,1996-07-01
913,세이우량채권,044240.KQ,2000-06-30
914,세이플러스혼합형펀드,051070.KQ,2001-02-05
915,솔빛미디어,044440.KQ,2000-08-03
916,슈마,056500.KQ,2002-06-04
917,신신상사,012360.KQ,1996-07-01
918,쌈지,033260.KQ,2001-02-01
919,써미트,039000.KQ,2002-01-31
920,썬텍,122800.KQ,2010-11-26
921,씨엘인터내셔널,037340.KQ,1999-12-14
922,씨티엘테크,088960.KQ,2006-06-30
923,아시아미디어홀딩스,052810.KQ,2001-12-13
924,아이레보,072430.KQ,2003-12-29
925,알덱스,025970.KQ,1995-09-07
926,알바트로스 4,037180.KQ,2000-01-28
927,에듀아크,046350.KQ,2000-08-24
928,에스디,066930.KQ,2003-01-24
929,에스에스컴텍,036500.KQ,1999-12-14
930,에스에프씨,112240.KQ,2011-11-30
931,에스이아이채,035930.KQ,1999-10-01
932,에이스하이텍,071930.KQ,2004-01-16
933,엑스씨이,081500.KQ,2006-07-21
934,엑큐리스,048460.KQ,2000-12-14
935,엔스퍼트,098400.KQ,2008-01-30
936,엠텍반도체,054440.KQ,2001-11-22
937,엠텍비젼,074000.KQ,2004-01-06
938,영진코퍼레이션,053330.KQ,2001-11-01
939,우주건설,002190.KQ,1996-07-01
940,우풍금고,016620.KQ,1996-07-01
941,울트라건설,004320.KQ,1991-12-06
942,월드그랜드2,039160.KQ,2000-04-21
943,월드텔레콤,047610.KQ,2000-12-12
944,유니드코리아,110500.KQ,2011-06-17
945,유산실업,015910.KQ,1996-07-01
946,이엘케이,094190.KQ,2007-10-29
947,인젠,041630.KQ,2002-01-15
948,제이콤,060750.KQ,2002-04-11
949,주화산업,017740.KQ,1996-07-01
950,중앙금고,025220.KQ,1996-07-01
951,지니웍스,036600.KQ,2000-01-11
952,지앤디윈텍,061050.KQ,2003-01-06
953,지오엠씨,033030.KQ,1997-08-18
954,카인드웨어서울,032970.KQ,1997-08-06
955,케이알,035950.KQ,1999-12-21
956,케이티비스팩1호,204650.KQ,2014-11-24
957,코리아링크,037410.KQ,1999-12-21
958,코아에스앤아이,052350.KQ,2001-07-20
959,타임,046930.KQ,2000-08-18
960,태광이엔시,048140.KQ,2001-04-26
961,테이크시스템,076090.KQ,2005-07-26
962,테크메이트,043690.KQ,2001-06-28
963,텔슨전자,027350.KQ,1996-07-06
964,트레이스,052290.KQ,2001-05-31
965,포넷,048270.KQ,2003-01-24
966,폴리플러스,065610.KQ,2002-12-06
967,프리젠,060910.KQ,2002-12-13
968,플러스2호,035160.KQ,1999-07-16
969,하이프로증권투자회사,034920.KQ,1999-05-14
970,한국금고,006540.KQ,1996-07-01
971,한국대아진공,029470.KQ,1996-09-02
972,한빛세이프티이호증권,034440.KQ,1999-03-12
973,한빛세이프티일호증권,034430.KQ,1999-03-12
974,한양철강,026930.KQ,1996-07-01
975,한진피앤씨,061460.KQ,2002-04-11
976,DSC인베스트먼트,241520.KQ,2016-12-19
977,NHN벅스,104200.KQ,2009-10-06
978,SDN,099220.KQ,2009-05-19
979,SK4호스팩,307070.KQ,2018-12-07
980,SKC 솔믹스,057500.KQ,2001-12-26
981,SK머티리얼즈,036490.KQ,1999-12-14
982,WI,073570.KQ,2004-01-06
983,가비아,079940.KQ,2005-10-19
984,경남스틸,039240.KQ,2000-03-07
985,국일신동,060480.KQ,2014-12-29
986,글로벌텍스프리,204620.KQ,2014-11-19
987,글로본,019660.KQ,1992-06-04
988,나노,187790.KQ,2014-05-08
989,네오셈,253590.KQ,2018-04-04
990,네오위즈홀딩스,042420.KQ,2000-06-27
991,네이블커뮤니케이션즈,153460.KQ,2012-07-19
992,넥스트BT,065170.KQ,2002-11-19
993,대신밸런스제7호스팩,332290.KQ,2019-10-11
994,대양전기공업,108380.KQ,2011-07-08
995,대원,007680.KQ,2017-12-01
996,대한뉴팜,054670.KQ,2002-02-26
997,덕산테코피아,317330.KQ,2019-08-02
998,덕산하이메탈,077360.KQ,2005-10-14
999,동국제약,086450.KQ,2007-05-29
1000,동진쎄미켐,005290.KQ,1999-12-21
1001,디바이스이엔지,187870.KQ,2017-12-20
1002,디알젬,263690.KQ,2018-11-22
1003,디에스티,033430.KQ,1998-05-25
1004,라이브파이낸셜,036170.KQ,1999-12-21
1005,라이온켐텍,171120.KQ,2013-11-19
1006,레이크머티리얼즈,281740.KQ,2017-12-12
1007,로지시스,067730.KQ,2015-07-29
1008,릭스솔루션,029480.KQ,1996-08-27
1009,링네트,042500.KQ,2002-01-10
1010,마이크로프랜드,147760.KQ,2016-12-12
1011,메가스터디교육,215200.KQ,2015-05-04
1012,모헨즈,006920.KQ,1989-01-05
1013,민앤지,214180.KQ,2015-06-30
1014,바른손이앤에이,035620.KQ,1999-08-13
1015,바이온,032980.KQ,1997-08-06
1016,베노홀딩스,206400.KQ,2014-12-10
1017,비보존 헬스케어,082800.KQ,2005-11-18
1018,비에이치아이,083650.KQ,2005-12-02
1019,새로닉스,042600.KQ,2002-10-01
1020,서울반도체,046890.KQ,2002-01-17
1021,서울전자통신,027040.KQ,1999-12-03
1022,서원인텍,093920.KQ,2007-12-20
1023,선데이토즈,123420.KQ,2010-11-10
1024,성호전자,043260.KQ,2001-11-29
1025,센코,347000.KQ,2020-10-29
1026,슈프리마에이치큐,094840.KQ,2008-07-11
1027,스타플렉스,115570.KQ,2010-01-27
1028,시노펙스,025320.KQ,1995-04-20
1029,시스웍,269620.KQ,2017-12-26
1030,신원종합개발,017000.KQ,1994-12-07
1031,신흥에스이씨,243840.KQ,2017-09-27
1032,씨앤지하이테크,264660.KQ,2018-01-25
1033,씨티씨바이오,060590.KQ,2002-02-21
1034,아스타,246720.KQ,2017-03-20
1035,아시아종묘,154030.KQ,2018-02-12
1036,아우딘퓨쳐스,227610.KQ,2017-07-12
1037,아이엘사이언스,307180.KQ,2018-12-21
1038,아이진,185490.KQ,2015-11-16
1039,아이큐어,175250.KQ,2018-07-12
1040,아이크래프트,052460.KQ,2005-01-03
1041,안트로젠,065660.KQ,2016-02-15
1042,알에스오토메이션,140670.KQ,2017-08-11
1043,에스디생명공학,217480.KQ,2017-03-02
1044,에스씨엠생명과학,298060.KQ,2020-06-17
1045,에스앤씨엔진그룹,900080.KQ,2009-12-04
1046,에스텍파마,041910.KQ,2004-02-06
1047,에이비프로바이오,195990.KQ,2015-04-13
1048,에이스테크,088800.KQ,2006-03-27
1049,에이치엔티,176440.KQ,2016-11-28
1050,에이치엘사이언스,239610.KQ,2016-10-28
1051,에이치엠씨제4호스팩,353070.KQ,2020-07-29
1052,에이티세미콘,089530.KQ,2011-11-11
1053,에이팩트,200470.KQ,2014-12-26
1054,에이프로젠 H&G,109960.KQ,2009-11-13
1055,에코플라스틱,038110.KQ,2000-03-23
1056,엑사이엔씨,054940.KQ,2001-12-13
1057,엔에스,217820.KQ,2015-12-07
1058,엔에스엔,031860.KQ,1997-01-07
1059,엔지스테크널러지,208860.KQ,2016-07-28
1060,엔피디,198080.KQ,2020-03-16
1061,엘오티베큠,083310.KQ,2005-10-05
1062,엠브레인,169330.KQ,2020-07-01
1063,엠투아이,347890.KQ,2020-07-29
1064,엠플러스,259630.KQ,2017-09-20
1065,예스24,053280.KQ,2008-05-07
1066,오가닉티코스메틱,900300.KQ,2016-11-04
1067,옵트론텍,082210.KQ,2005-06-24
1068,옵티팜,153710.KQ,2018-10-26
1069,와이솔,122990.KQ,2010-09-10
1070,와이아이케이,232140.KQ,2015-12-24
1071,우노앤컴퍼니,114630.KQ,2010-01-15
1072,우리산업홀딩스,072470.KQ,2003-10-28
1073,우림기계,101170.KQ,2009-04-28
1074,우양,103840.KQ,2019-11-20
1075,우진비앤지,018620.KQ,2008-05-20
1076,원익,032940.KQ,1997-07-18
1077,유성티엔에스,024800.KQ,1999-12-10
1078,유에스티,263770.KQ,2017-04-06
1079,이노인스트루먼트,215790.KQ,2015-05-08
1080,이루온,065440.KQ,2003-01-28
1081,이엘피,063760.KQ,2017-04-06
1082,이지홀딩스,035810.KQ,1999-11-23
1083,이트론,096040.KQ,2008-01-25
1084,인터플렉스,051370.KQ,2003-01-22
1085,전파기지국,065530.KQ,2002-06-04
1086,제너셈,217190.KQ,2015-09-25
1087,제넥신,095700.KQ,2009-09-15
1088,제넨바이오,072520.KQ,2004-10-29
1089,제노레이,122310.KQ,2018-05-28
1090,제로투세븐,159580.KQ,2013-02-19
1091,제룡전기,033100.KQ,1997-08-18
1092,제이씨현시스템,033320.KQ,1997-11-10
1093,조광ILI,044060.KQ,2001-01-18
1094,칩스앤미디어,094360.KQ,2015-08-05
1095,컴퍼니케이,307930.KQ,2019-05-23
1096,케이사인,192250.KQ,2014-04-28
1097,케이씨에스,115500.KQ,2010-04-14
1098,케이아이엔엑스,093320.KQ,2011-02-08
1099,켐온,217600.KQ,2015-06-26
1100,코맥스,036690.KQ,2000-01-18
1101,코세스,089890.KQ,2006-11-08
1102,코스메카코리아,241710.KQ,2016-10-28
1103,코엔텍,029960.KQ,2004-06-18
1104,코텍,052330.KQ,2001-07-10
1105,콜마비앤에이치,200130.KQ,2014-07-23
1106,큐캐피탈,016600.KQ,1993-06-21
1107,타이거일렉,219130.KQ,2015-09-25
1108,티로보틱스,117730.KQ,2018-11-29
1109,파마리서치프로덕트,214450.KQ,2015-07-24
1110,파인디앤씨,049120.KQ,2001-07-26
1111,파인텍,131760.KQ,2015-08-17
1112,펩트론,087010.KQ,2015-07-22
1113,포스링크,056730.KQ,2002-01-04
1114,풍국주정,023900.KQ,1994-11-23
1115,퓨쳐켐,220100.KQ,2016-12-01
1116,피씨디렉트,051380.KQ,2002-02-15
1117,피에스케이홀딩스,031980.KQ,1997-01-07
1118,하이로닉,149980.KQ,2014-12-17
1119,하이소닉,106080.KQ,2010-02-09
1120,한국유니온제약,080720.KQ,2018-07-26
1121,한국전자금융,063570.KQ,2006-07-14
1122,한국컴퓨터,054040.KQ,2002-01-15
1123,한국테크놀로지,053590.KQ,2001-08-23
1124,한일사료,005860.KQ,1994-11-07
1125,헝셩그룹,900270.KQ,2016-08-18
1126,화일약품,061250.KQ,2002-04-18
1127,효성오앤비,097870.KQ,2008-04-08
1128,휘닉스소재,050090.KQ,2004-06-29
1129,휴온스,243070.KQ,2016-06-03
1130,휴젤,145020.KQ,2015-12-24
1131,GT&T,053870.KQ,2001-12-13
1132,HK저축은행,007640.KQ,1992-08-01
1133,KTB전환32,044400.KQ,2000-06-30
1134,국정교과서,024930.KQ,1996-07-01
1135,그린기술투자,025340.KQ,2000-05-04
1136,그린에셋일호,045080.KQ,2000-07-24
1137,금강정공,022770.KQ,1996-07-01
1138,나노트로닉스,010670.KQ,1996-05-14
1139,남신,008680.KQ,1996-07-01
1140,네오리소스,058550.KQ,2002-05-07
1141,네오세미테크,089240.KQ,2006-12-22
1142,네오퍼플,028090.KQ,1996-11-29
1143,네프로아이티,950030.KQ,2009-04-24
1144,녹십자의공,014660.KQ,1996-07-01
1145,뉴씨앤씨,045240.KQ,2001-08-07
1146,다임마이스터전환형일,036430.KQ,1999-10-15
1147,대신밸런스제4호스팩,262830.KQ,2017-03-03
1148,데코앤이,017680.KQ,1993-09-03
1149,동방금고,008410.KQ,1996-07-01
1150,동산진흥,031960.KQ,1996-12-23
1151,디씨씨,034750.KQ,1999-06-11
1152,디아이디,074130.KQ,2005-07-27
1153,디패션,030420.KQ,1997-07-04
1154,렉스엘이앤지,004790.KQ,1995-12-23
1155,로보트보일러,010920.KQ,1996-07-01
1156,리젠트프로1,037430.KQ,1999-12-24
1157,리타워텍,020860.KQ,1991-03-25
1158,마이다스전환형일호펀,036040.KQ,1999-11-12
1159,맥스브로,088810.KQ,2006-04-17
1160,모다,149940.KQ,2012-09-25
1161,미래아이티3,040940.KQ,2000-05-15
1162,미래에셋드림삼호펀드,035330.KQ,1999-08-13
1163,미래에셋스팩1호,121950.KQ,2010-03-12
1164,미래에셋이글일호펀드,034450.KQ,1999-04-16
1165,미리넷,056710.KQ,2002-01-10
1166,박현주드림칠호자산배,035790.KQ,1999-10-15
1167,박현주자산1,037490.KQ,2000-01-28
1168,블루멈,033880.KQ,1998-10-13
1169,블루스톤,033720.KQ,2000-06-27
1170,비앤비성원,015200.KQ,1997-01-17
1171,비전하이테크,015050.KQ,1994-01-06
1172,삼경정밀,013320.KQ,1996-07-01
1173,삼화기연,033210.KQ,1997-10-13
1174,삼화정밀,021220.KQ,1996-07-01
1175,샤인시스템,066300.KQ,2002-09-25
1176,서울가든,011520.KQ,1996-07-01
1177,성담,003860.KQ,1996-07-01
1178,성진산업,037650.KQ,1999-12-24
1179,세라온,050600.KQ,2001-06-21
1180,세본금속,020620.KQ,1996-07-01
1181,시스컴,037280.KQ,2000-02-29
1182,신림종합건설,014270.KQ,1996-07-01
1183,신우산업기기,016310.KQ,1996-07-01
1184,신한에스아이티,054530.KQ,2001-08-28
1185,신한제3호스팩,257730.KQ,2017-02-23
1186,실크자산3,037040.KQ,1999-12-24
1187,써니트렌드,035500.KQ,1999-07-16
1188,아이알디,084810.KQ,2006-06-27
1189,아이이,023430.KQ,1994-10-07
1190,아이텍스필,008030.KQ,2000-04-04
1191,아인스M&M,040740.KQ,2004-01-28
1192,어울림정보,038320.KQ,2002-04-23
1193,에스비엠,037630.KQ,1999-12-24
1194,에스씨옵티콤,014090.KQ,1996-07-01
1195,에스오케이,032610.KQ,1997-05-02
1196,에스피컴텍,039110.KQ,2001-08-28
1197,에어로시스템,018740.KQ,1996-07-01
1198,에이스디지텍,036550.KQ,2003-01-07
1199,엔에스아이,053250.KQ,2001-07-20
1200,엠엔에프씨,048640.KQ,2001-01-09
1201,올에버,034970.KQ,1999-05-14
1202,우수씨엔에스,060550.KQ,2002-02-28
1203,우양에이치씨,101970.KQ,2012-07-26
1204,우영,012460.KQ,1996-01-10
1205,위너지스,026260.KQ,1996-09-24
1206,유천건설,016230.KQ,1996-07-01
1207,이룸지엔지,050640.KQ,2005-08-05
1208,인스프리트,073130.KQ,2005-01-19
1209,자유건설,001990.KQ,1996-07-01
